Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1961","1961","1000 ha","14980","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1961","1961","1000 ha","291","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1961","1961","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1962","1962","1000 ha","14990","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1962","1962","1000 ha","300","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1962","1962","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1963","1963","1000 ha","15000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1963","1963","1000 ha","350","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1963","1963","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1964","1964","1000 ha","15010","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1964","1964","1000 ha","400","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1964","1964","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1965","1965","1000 ha","15020","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1965","1965","1000 ha","450","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1965","1965","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1966","1966","1000 ha","15030","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1966","1966","1000 ha","450","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1966","1966","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1967","1967","1000 ha","15050","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1967","1967","1000 ha","500","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1967","1967","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1968","1968","1000 ha","15100","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1968","1968","1000 ha","500","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1968","1968","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1969","1969","1000 ha","15120","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1969","1969","1000 ha","550","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1969","1969","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1970","1970","1000 ha","15150","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1970","1970","1000 ha","550","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1970","1970","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1971","1971","1000 ha","15581","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1971","1971","1000 ha","573","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1971","1971","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1972","1972","1000 ha","16227","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1972","1972","1000 ha","573","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1972","1972","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1973","1973","1000 ha","16901","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1973","1973","1000 ha","580","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1973","1973","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1974","1974","1000 ha","16370","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1974","1974","1000 ha","590","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1974","1974","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1975","1975","1000 ha","15850","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1975","1975","1000 ha","590","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1975","1975","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1976","1976","1000 ha","15330","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1976","1976","1000 ha","620","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1976","1976","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1977","1977","1000 ha","14969","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1977","1977","1000 ha","724","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1977","1977","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1978","1978","1000 ha","14192","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1978","1978","1000 ha","675","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1978","1978","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1979","1979","1000 ha","15194","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1979","1979","1000 ha","714","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1979","1979","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1980","1980","1000 ha","12981","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1980","1980","1000 ha","732","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1980","1980","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1981","1981","1000 ha","13550","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1981","1981","1000 ha","730","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1981","1981","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1982","1982","1000 ha","14141","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1982","1982","1000 ha","726","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1982","1982","1000 ha","44000","I","Imputed value"
