Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2005","2005","6199","Value","3023","Labour force survey","1000 No","468.42","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2006","2006","6199","Value","3023","Labour force survey","1000 No","465.44","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2007","2007","6199","Value","3023","Labour force survey","1000 No","484.11","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2008","2008","6199","Value","3023","Labour force survey","1000 No","3887.78","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2009","2009","6199","Value","3023","Labour force survey","1000 No","3962.18","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2010","2010","6199","Value","3023","Labour force survey","1000 No","3582.57","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2011","2011","6199","Value","3023","Labour force survey","1000 No","3413.01","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2012","2012","6199","Value","3023","Labour force survey","1000 No","3662.47","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2013","2013","6199","Value","3023","Labour force survey","1000 No","3588.74","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2014","2014","6199","Value","3023","Labour force survey","1000 No","3555.06","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2015","2015","6199","Value","3023","Labour force survey","1000 No","3716.71","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2016","2016","6199","Value","3023","Labour force survey","1000 No","3695.69","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2017","2017","6199","Value","3023","Labour force survey","1000 No","3815.68","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2018","2018","6199","Value","3023","Labour force survey","1000 No","3902.36","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 No","4082.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","364","Iran (Islamic Republic of)","21091","Employment in agriculture, forestry and fishing by status of employment, total","1","Total","2020","2020","6199","Value","3023","Labour force survey","1000 No","3858.06","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
