Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1961","1961","ha","5063000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1961","1961","100 g/ha","8499","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1961","1961","t","4303119","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1962","1962","ha","4983000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1962","1962","100 g/ha","8836","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1962","1962","t","4402740","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1963","1963","ha","4783000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1963","1963","100 g/ha","8574","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1963","1963","t","4101140","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1964","1964","ha","5057000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1964","1964","100 g/ha","8502","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1964","1964","t","4299578","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1965","1965","ha","6397000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1965","1965","100 g/ha","8821","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1965","1965","t","5642713","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1966","1966","ha","7457000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1966","1966","100 g/ha","8836","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1966","1966","t","6588982","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1967","1967","ha","6630000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1967","1967","100 g/ha","8798","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1967","1967","t","5833000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1968","1968","ha","7535000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1968","1968","100 g/ha","8751","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1968","1968","t","6594000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1969","1969","ha","7136000","E","Estimated value",""
