"Category","Annual Mean","5-yr smooth"
1901,17.67,17.45
1902,17.37,17.27
1903,16.66,17.09
1904,16.76,16.93
1905,16.8,16.8
1906,16.96,16.72
1907,16.57,16.68
1908,16.77,16.69
1909,17.32,16.73
1910,16.78,16.79
1911,15.99,16.87
1912,17,16.95
1913,16.85,17.02
1914,17.39,17.08
1915,17.78,17.13
1916,16.87,17.16
1917,17.39,17.16
1918,16.81,17.15
1919,17.22,17.12
1920,16.48,17.08
1921,16.97,17.06
1922,17.54,17.05
1923,16.92,17.06
1924,17.16,17.08
1925,17.32,17.1
1926,17.14,17.08
1927,17.21,17.03
1928,16.54,16.91
1929,16.53,16.75
1930,16.64,16.58
1931,16.41,16.45
1932,16.46,16.38
1933,16.58,16.41
1934,16.38,16.55
1935,17.02,16.76
1936,17.04,17
1937,16.92,17.23
1938,17.34,17.4
1939,17.37,17.49
1940,17.79,17.52
1941,17.86,17.49
1942,17.35,17.42
1943,16.73,17.33
1944,17.5,17.22
1945,16.76,17.12
1946,17.08,17.03
1947,17.74,16.96
1948,17.17,16.94
1949,16.37,16.96
1950,16.41,17.03
1951,17.41,17.11
1952,17.31,17.2
1953,17.45,17.27
1954,17.35,17.3
1955,17.73,17.3
1956,16.93,17.26
1957,16.51,17.22
1958,17.63,17.19
1959,16.94,17.18
1960,17.34,17.21
1961,17.43,17.26
1962,17.48,17.32
1963,17.92,17.38
1964,16.47,17.43
1965,17.4,17.45
1966,18.07,17.44
1967,16.98,17.4
1968,17.18,17.35
1969,17.09,17.27
1970,18.01,17.18
1971,17.49,17.08
1972,15.93,17
1973,17.33,16.95
1974,16.53,16.95
1975,17.05,17.01
1976,16.93,17.14
1977,17.81,17.31
1978,17.72,17.47
1979,17.73,17.6
1980,17.77,17.67
1981,17.92,17.66
1982,16.75,17.58
1983,17.37,17.48
1984,17.03,17.37
1985,17.48,17.28
1986,17.04,17.25
1987,17.76,17.26
1988,17.83,17.3
1989,17.2,17.36
1990,17.76,17.42
1991,17.58,17.47
1992,16.56,17.51
1993,17.27,17.54
1994,17.79,17.6
1995,17.91,17.69
1996,17.64,17.84
1997,17.95,18.03
1998,18.69,18.24
1999,18.77,18.44
2000,18.43,18.6
2001,18.84,18.68
2002,18.48,18.67
2003,18.2,18.59
2004,18.44,18.47
2005,18.25,18.35
2006,18.51,18.26
2007,18.08,18.23
2008,18.26,18.26
2009,18.41,18.32
2010,19.32,18.41
2011,18.09,18.51
2012,18.12,18.59
2013,18.65,18.66
2014,18.48,18.71
2015,18.93,18.76
2016,19.03,18.81
2017,18.84,18.87
2018,19.34,18.93
2019,18.84,19
2020,18.38,19.08
2021,19.57,19.17
2022,19.3,19.25
